大类,指令,说明,,,,,,
AIX 系统\系统信息管理,uname -a,显示所有系统信息,,,,,,
AIX 系统/系统信息管理,oslevel -s,显示 AIX 版本和技术级别,,,,,,
AIX 系统/系统信息管理,uname -u,显示系统序列号,,,,,,
AIX 系统/系统信息管理,bootinfo -K,32 位或 64 位,,,,,,
AIX 系统/系统信息管理,lsattr -El proc0 -Vtype,CPU 类型,,,,,,
AIX 系统/系统信息管理,lsattr -El mem0 -size,物理内存大小,,,,,,
AIX 系统/系统信息管理,pagesize,内存页大小,,,,,,
AIX 系统/系统信息管理,lscfg -v,详细列出所有硬件,,,,,,
AIX 系统/系统信息管理,lscfg -vp,显示 VPD 信息,,,,,,
AIX 系统/系统信息管理,uname -M,机器型号,,,,,,
AIX 系统/进程管理,ps -ef,显示所有进程,,,,,,
AIX 系统/进程管理,pstree,进程树形结构,,,,,,
AIX 系统/进程管理,ps -u root,root 用户的进程,,,,,,
AIX 系统/进程管理,ps aux | sort -k3 -rn | head,CPU 使用前 10,,,,,,
AIX 系统/进程管理,ps aux | sort -k4 -rn | head,内存使用前 10,,,,,,
AIX 系统/进程管理,"ps -p 12345 -o pid,ppid,user,stat,start,time,args",详细信息,,,,,,
AIX 系统/进程管理,nohup ./script.sh &,后台运行,,,,,,
AIX 系统/进程管理,kill -STOP 12345,停止进程,,,,,,
AIX 系统/进程管理,kill -CONT 12345,继续进程,,,,,,
AIX 系统/进程管理,kill -9 12345,强制杀死进程,,,,,,
AIX 系统/进程管理,kill 12345,正常终止,,,,,,
AIX 系统/进程管理,pkill -f process_name,按名称终止,,,,,,
AIX 系统/进程管理,"ps -A -ostat,pid,ppid | grep Z",僵尸进程,,,,,,
AIX 系统/进程管理,ps -eLf | grep 12345 | wc -l,线程数量,,,,,,
AIX 系统/进程管理,renice 10 -p 12345,调整 nice 值,,,,,,
AIX 系统/用户和组管理,mkuser gecos=John Doe" home=/home/john john",创建用户,,,,,,
AIX 系统/用户和组管理,rmuser john,删除用户,,,,,,
AIX 系统/用户和组管理,chuser shell=/bin/ksh home=/home/john john,修改属性,,,,,,
AIX 系统/用户和组管理,passwd john,设置密码,,,,,,
AIX 系统/用户和组管理,chuser account_locked=true john,锁定账户,,,,,,
AIX 系统/用户和组管理,chuser account_locked=false john,解锁账户,,,,,,
AIX 系统/用户和组管理,lsuser john,用户详细信息,,,,,,
AIX 系统/用户和组管理,lsuser ALL,所有用户,,,,,,
AIX 系统/用户和组管理,mkgroup developers,创建组,,,,,,
AIX 系统/用户和组管理,rmgroup developers,删除组,,,,,,
AIX 系统/用户和组管理,chgroup gid=1001 developers,修改 GID,,,,,,
AIX 系统/用户和组管理,"chuser groups=developers,staff john",添加到组,,,,,,
